Role,Company,Skills,Cleaned_Skills
Revinate Director Data Engineering [,Revinate,"director, design, hr","director, design, hr"
CI&T Job 25701 Mid Level Automation QA Brazil [,CI&T,"software, quality assurance","software, quality assurance"
3Pillar Senior Data Engineer [,3Pillar,"python, software, growth","python, software, growth"
Acquia Senior Software Engineer [,Acquia,"software, system, support","software, support"
CertiK Solidity Compiler Frontend Engineer [,CertiK,"solidity, front end, ethereum","solidity, front end, ethereum"
Celonis Software Engineer [,Celonis,"software, saas, support","software, saas, support"
Culligan Quench Salesforce Full Stack Developer [,Culligan Quench,"salesforce, developer, design","salesforce, design"
Camunda Senior Software Engineer Backend [,Camunda,"software, design, saas","software, design, saas"
Netomi SDE I Backend [,Netomi,"design, saas, amazon","design, saas, amazon"
3Pillar Technical Lead Java & Angular [,3Pillar,"technical, software, growth","technical, software, growth"
CI&T Job 24033 Software Architect Brazil [,CI&T,"architect, software, react","architect, software, react"
CI&T Job 23962 Mid Senior Observability Engineer Colombia [,CI&T,"system, developer, software",software
CI&T Job 23962 Mid Senior Observability Engineer Brazil [,CI&T,"system, support, developer",support
Vonage Strategic Business Development Consultant [,Vonage,"consultant, design, growth","consultant, design, growth"
Paragon Product Marketing Lead [,Paragon,"saas, technical, developer","saas, technical"
SKELAR Senior Tech Lead Mobile Developer Risora [,SKELAR,"developer, swift, full-stack","swift, full-stack"
Amigo Applied AI Engineer Europe [,Amigo,"system, python, technical","python, technical"
Vonage Healthcare Account Executive [,Vonage,"software, growth, cloud","software, growth, cloud"
Capnexus Senior Data Engineer [,Capnexus,"amazon, system, software","amazon, software"
Highspot Senior Solution Consultant [,Highspot,"consultant, salesforce, infosec","consultant, salesforce, infosec"
Calendly Engineering Manager [,Calendly,"manager, technical, software","technical, software"
540 Test Automation Engineer [,540,"test, design, system","test, design"
Agoda Principal Specialist Counsel Financial Crime & Compliance [,Agoda,"travel, financial, management","travel, financial, management"
Agoda Privacy Principal Counsel [,Agoda,"support, travel, financial","support, travel, financial"
Smartsheet Solutions Architect [,Smartsheet,"architect, technical, testing","architect, technical, testing"
Coderio Senior Backend Engineer MS050KA [,Coderio,"serverless, node. js, senior","serverless, node. js"
Ivanti Senior Software Engineer C++ Windows SDK WIN32 API [,Ivanti,"software, design, saas","software, design, saas"
OpenRouter Product Designer [,OpenRouter,"design, front end, designer","design, front end, designer"
Copia Automation Lead Security Engineer [,Copia Automation,"security, design, saas","security, design, saas"
High Tech Genesis Purview Consultant [,High Tech Genesis,"consultant, design, security","consultant, design, security"
Veda Tech Labs Smart Contract Engineer SVM [,Veda Tech Labs,"defi, front-end, security","defi, front-end, security"
HighLevel Customer Support Specialist [,HighLevel,"technical, support, manager","technical, support"
Alpaca Lead Product Designer [,Alpaca,"design, crypto, designer","design, crypto, designer"
Marathon Talent CFO [,Marathon Talent,"cfo, support, software","cfo, support, software"
Exodus Movement Inc. Security Engineer [,Exodus Movement Inc.,"security, design, engineer","security, design"
Alpaca Product Operations Lead [,Alpaca,"design, crypto, security","design, crypto, security"
Tether Operations Limited AI Product Manager [,Tether Operations Limited,"manager, design, saas","design, saas"
Alpaca Sales Enablement Analyst Broker API [,Alpaca,"analyst, crypto, training","analyst, crypto, training"
Coin Market Cap Ltd Business Development Manager 3 months renewable [,Coin Market Cap Ltd,"manager, crypto, cryptocurrency","crypto, cryptocurrency"
Alpaca Senior Software Engineer Prime [,Alpaca,"software, crypto, system","software, crypto"
Anchorage Digital Member of Technical Staff Financial Infrastructure [,Anchorage Digital,"crypto, cryptocurrency, system","crypto, cryptocurrency"
Nansen.ai Senior Security Engineer [,Nansen.ai,"security, design, support","security, design, support"
Lavendo Technical Product Manager [,Lavendo,"manager, system, technical",technical
Mex Digital FZE QA Engineer [,Mex Digital FZE,"cryptocurrency, technical, developer","cryptocurrency, technical"
CI&T Job 27602 Mid level Developer NodeJS Brazil [,CI&T,"developer, javascript, node js","javascript, node js"
dv01 Backend Engineer [,dv01,"saas, financial, investment","saas, financial, investment"
3Pillar Senior Software Engineer Angular .net [,3Pillar,"software, design, salesforce","software, design, salesforce"
fastino.ai AI Engineer [,fastino.ai,"docker, ceo, developer","docker, ceo"
Smartbug Media HubSpot Solutions Architect [,Smartbug Media,"architect, design, salesforce","architect, design, salesforce"
Stone Engenharia Software Engineer III Golang [,Stone,"software, golang","software, golang"
"Deep Fission, Inc Nuclear Engineer III Nuclear Safety Analysis [","Deep Fission, Inc","support, growth, engineering","support, growth, engineering"
Unikraft Tooling Engineer [,Unikraft,"golang, cloud","golang, cloud"
Civitech Analytics Engineer [,Civitech,"python, support, code","python, support, code"
Cast AI Senior Software Engineer [,Cast AI,"golang, software, senior","golang, software"
